#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
195,Tell 'Em Why,Redferrin,2022-03-25,176,77,58,-4,58,2:47,28,52,479,6647,Country
196,Spring Cleaning,Maddie & Tae,2022-08-19,144,91,55,-4,71,2:32,2,52,263,5751,Country
197,Make A Little Room,Steve Moakler,2022-08-12,146,72,76,-6,66,3:00,17,51,480,6544,Country
198,The Card You Gamble (Main Theme From Monarch),Monarch Cast,2022-01-07,156,75,56,-6,64,2:56,1,48,481,4025,Country
199,Tears the Size of Texas,Ben Burgess,2022-07-22,132,52,53,-6,33,3:58,1,51,482,3202,Country
200,Jealous of Myself,Tenille Arts,2022-10-14,138,47,56,-4,34,3:26,78,55,111,2058,Country
201,Keeping Me Up All Night,Chayce Beckham,2022-08-19,130,91,51,-4,39,3:29,2,61,483,9294,Country
202,Hear About a Girl,Dalton Dover,2022-06-03,138,84,52,-4,40,3:08,1,53,178,4488,Country
203,Over For You,Morgan Evans,2022-10-18,91,36,63,-9,43,3:06,42,60,112,1179,Country
204,Sounds Like Something I'd Do,Drake Milligan,2021-07-23,161,89,49,-6,68,2:27,0,59,497,7879,Country
205,what made you think?,Avery Anna,2022-09-09,124,47,56,-6,19,3:41,23,56,179,7884,Country
206,Dancin’ In The Country,Tyler Hubbard,2022-08-19,115,87,66,-5,54,3:00,0,68,610,2664,Country
207,Just In Case,Rodell Duff,2022-09-02,95,78,56,-6,85,2:58,6,53,498,5680,Country
208,No Body,Blake Shelton,2022-08-19,103,72,74,-7,89,3:08,4,62,9,7511,Country
209,A Special Place,Danielle Bradbery,2022-09-02,83,65,49,-4,71,2:54,0,56,180,8813,Country
210,be alright,Jimmie Allen,2022-06-24,170,62,54,-5,51,2:55,36,55,399,2610,Country
211,I CAN'T WAIT TO LOVE YOU (feat. Anna Moon),Niko Moon,2022-09-09,88,41,48,-9,34,3:16,83,55,181,2661,Country
212,Pass It On,Ryan Hurd,2021-10-15,77,69,71,-5,79,2:59,16,54,182,2115,Country
213,Don't Let Our Love Start Slippin' Away,Vince Gill,1992-01-01,113,72,74,-9,66,3:45,42,62,50,5125,Country
214,Man! I Feel Like A Woman!,Shania Twain,1997-11-04,125,64,66,-8,67,3:54,58,77,142,9708,Country
215,You're Still The One,Shania Twain,1997-11-04,134,49,59,-9,63,3:32,36,77,273,7746,Country
