#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
138,Hey You,Disturbed,2022-11-18,103,98,50,-3,51,4:28,0,52,301,6247,Rock
139,San Quentin,Nickelback,2022-11-18,124,93,67,-4,83,3:31,0,52,449,9270,Rock
140,Glitch,Parkway Drive,2022-06-07,106,87,55,-4,37,4:22,0,57,213,9727,Rock
141,Werewolf,Motionless In White,2022-06-10,95,95,50,-3,52,3:32,0,64,214,8744,Rock
142,Surrender,Godsmack,2022-09-28,170,95,56,-5,72,3:41,1,61,215,8089,Rock
143,JACK,HARDY,2022-09-30,125,60,55,-6,49,2:49,3,69,216,8580,Rock
144,Bad Things,I Prevail,2022-08-19,92,84,50,-5,14,3:48,0,66,454,2249,Rock
145,Daylight,Shinedown,2022-07-01,181,54,26,-6,34,4:01,42,56,217,527,Rock
146,Voices In My Head,Falling In Reverse,2022-05-31,173,90,55,-3,64,3:11,3,72,218,8988,Rock
147,Paranoid (Crash & Burn),Pop Evil,2022-09-30,95,93,49,-6,40,3:56,0,52,219,6061,Rock
148,Thousand Lifetimes,Fire From The Gods,2022-10-28,93,91,33,-4,53,3:13,2,49,220,4139,Rock
149,Faded Out (feat. Within Temptation),Asking Alexandria,2022-05-20,75,94,48,-5,53,3:06,0,61,221,6275,Rock
150,Make Believe,Memphis May Fire,2022-02-18,131,92,56,-4,49,3:49,0,51,222,6249,Rock
151,Divide,The Plot In You,2022-10-25,150,97,45,-4,57,3:29,0,59,223,4041,Rock
152,Silver Tongue,Alter Bridge,2022-10-14,141,93,43,-6,35,4:19,0,55,71,792,Rock
153,More Than Machines,Bush,2022-10-07,93,84,51,-4,73,3:22,0,52,24,8289,Rock
154,I Am The Weapon,Three Days Grace,2022-05-06,119,83,30,-3,74,2:56,0,56,228,9924,Rock
155,YOU DON'T KNOW WHAT LOVE MEANS,NOTHING MORE,2022-10-14,170,92,23,-6,25,4:09,0,52,229,9754,Rock
156,Devil,Black Veil Brides,2022-10-21,195,94,32,-4,50,3:24,0,58,230,551,Rock
157,Flying,Cory Marks,2022-11-11,90,98,52,-4,37,3:10,0,43,231,125,Rock
158,A Disappearing Act,Coheed and Cambria,2022-06-24,133,92,53,-3,54,3:30,1,54,232,7950,Rock
159,Waiting On The Sky To Change,STARSET,2022-08-19,168,93,37,-4,31,4:04,0,65,233,2317,Rock
160,MIDDLE OF THE NIGHT,Loveless,2022-09-16,93,94,38,-6,16,3:06,0,63,72,3162,Rock
161,Pass The Nirvana,Pierce The Veil,2022-09-01,143,90,54,-5,62,3:17,0,70,455,281,Rock
162,Past Lives,L.S. Dunes,2022-11-11,83,94,45,-3,38,4:11,0,51,456,6802,Rock
163,Let You Down (feat. Charlotte Sands),Sleeping With Sirens,2022-10-14,174,94,44,-3,62,3:26,0,54,457,6780,Rock
164,Worst Is On Its Way,Korn,2022-02-04,95,99,39,-3,13,4:04,0,52,73,3616,Rock
165,Mine,Halestorm,2022-10-28,138,89,49,-4,23,4:20,1,54,234,4564,Rock
166,Dinosaur,Theory of a Deadman,2022-10-20,148,85,27,-5,34,3:48,0,54,235,8992,Rock
167,Without Me,Dayseeker,2022-08-26,93,82,42,-4,16,3:44,1,60,766,9033,Rock
168,The Rapture (but it’s Pink) [feat. Mothica],Scene Queen,2022-11-10,160,79,50,-4,43,2:29,0,53,236,5602,Rock
169,Crocus,Boston Manor,2022-10-14,93,70,50,-5,22,3:57,0,50,237,9454,Rock
170,Hurts Like Hell,New Years Day,2022-08-12,125,95,49,-4,47,3:11,0,46,238,8750,Rock
171,Under The Knife,BRKN LOVE,2022-09-23,143,92,48,-5,60,2:56,0,39,25,9799,Rock
172,High on Me,Saliva,2022-11-11,95,87,53,-6,46,3:03,0,50,239,5641,Rock
173,Evil World Machine - Extended,Crossbone Skully,2022-11-18,120,91,61,-6,34,6:11,0,26,240,9854,Rock
174,Our Time Is Now,Gojira,2022-10-14,99,95,23,-3,40,4:31,0,61,241,4098,Rock
175,The End (feat. Scarlxrd),Zero 9:36,2022-11-11,108,95,54,-5,54,2:40,0,49,242,5673,Rock
176,Welcome to the Chaos (feat. Spencer Charnas of Ice Nine Kills),Fame on Fire,2022-07-22,160,95,46,-5,50,3:29,0,60,243,9181,Rock
177,Drown,Kim Dracula,2022-11-18,119,83,64,-5,48,2:46,0,45,244,9098,Rock
178,No More Tears To Cry,Bullet For My Valentine,2022-07-29,95,94,43,-5,45,3:41,0,52,245,1070,Rock
179,Overrated,Giovannie and the Hired Guns,2022-09-27,169,84,21,-6,45,3:39,0,51,246,5771,Rock
180,Frenzy,Iggy Pop,2022-10-28,75,99,39,-3,20,3:01,0,56,247,7481,Rock
181,Vivien,✝✝✝ (Crosses),2022-10-28,180,75,41,-5,16,3:53,0,56,767,5413,Rock
182,Dance Devil Dance,Avatar,2022-10-28,125,97,50,-4,62,4:01,0,53,248,4260,Rock
183,The Perfume of Decay,Tigercub,2022-10-12,138,87,40,-4,57,3:41,0,48,74,9907,Rock
184,New Way To Hate,Otherwise,2022-11-03,102,88,58,-5,41,3:08,0,45,249,3704,Rock
185,Black Rhino,Royal Bliss,2022-08-19,139,99,44,-3,24,2:44,0,38,250,7438,Rock
186,Soldier On!,Megadeth,2022-09-02,126,100,48,-4,33,4:54,0,55,251,779,Rock
187,One of Those Days (feat. Eric Clapton),Ozzy Osbourne,2022-09-09,82,84,41,-4,31,4:40,0,61,252,6794,Rock
188,Yen,Slipknot,2022-09-30,137,93,56,-4,30,4:44,0,68,253,6042,Rock
189,Bad Man,Disturbed,2022-11-18,175,99,45,-3,31,3:22,0,57,598,590,Rock
190,Golden,Crobot,2022-06-03,164,91,45,-5,51,3:58,0,41,254,3312,Rock
191,Blast off!!,AVOID,2022-11-04,102,98,54,-5,20,3:37,0,43,75,1141,Rock
192,Godspeed,Wage War,2021-10-01,115,95,53,-3,51,3:07,0,57,255,4410,Rock
193,The Foreverlost,VV,2022-11-04,146,90,51,-5,68,3:30,0,52,256,6141,Rock
194,No Apologies,Papa Roach,2022-04-08,93,94,51,-3,44,3:08,0,60,76,9095,Rock
195,Monochrome,BABYMETAL,2022-11-17,175,91,39,-4,27,3:57,0,49,257,5515,Rock
196,WHY?,WILLOW,2022-10-07,176,72,40,-12,51,2:59,5,55,299,1360,Rock
197,One More Day,We Came As Romans,2022-10-14,105,86,57,-6,28,4:28,0,54,258,1001,Rock
198,Becoming,Volbeat,2021-12-03,120,94,43,-7,39,4:13,0,60,77,7736,Rock
199,"The Retaliators Theme (21 Bullets) (feat. Mötley Crüe, Asking Alexandria, Ice Nine Kills, From Ashes To New)",The Retaliators,2022-08-05,166,94,44,-5,19,4:02,10,59,259,5898,Rock
200,Nobody Wants to Die,Rival Sons,2022-10-14,160,95,30,-4,38,3:43,0,53,260,8361,Rock
201,Mr Medicine,Pigs Pigs Pigs Pigs Pigs Pigs Pigs,2022-11-01,154,84,17,-8,51,2:27,0,36,261,7565,Rock
202,Judgement Day,Kings of Chaos,2022-10-28,98,96,43,-2,49,3:27,0,46,262,8078,Rock
203,Blow (feat. Spencer Charnas of Ice Nine Kills),Eva Under Fire,2022-09-23,126,97,59,-2,66,2:45,0,54,78,2100,Rock
204,Freak,Letdown.,2022-09-23,112,66,60,-6,60,3:11,0,48,263,4223,Rock
205,Fuck You,The Used,2022-10-21,175,79,36,-5,38,2:58,2,57,264,8116,Rock
206,Broken,The Devil Wears Prada,2022-09-13,145,86,43,-5,14,3:49,0,47,265,2713,Rock
207,Dandelions,Hawthorne Heights,2022-10-20,167,95,49,-3,63,3:00,0,50,266,5092,Rock
208,RECOVER,Point North,2022-08-10,170,95,44,-4,60,3:22,0,53,267,2455,Rock
209,Taunt Me,Dream State,2022-10-14,147,97,53,-6,51,3:53,0,44,268,7774,Rock
210,Mama I'm Coming Home,Bad Wolves,2022-10-28,144,87,45,-4,19,3:50,1,53,79,9680,Rock
211,Omens,Lamb of God,2022-07-28,96,99,47,-6,26,3:48,0,46,80,4898,Rock
212,Until We Break (feat. Matty Mullins of Memphis Mayfire),From Ashes to New,2022-10-07,102,93,49,-5,26,3:34,0,59,269,3976,Rock
213,The Shower Scene,Ice Nine Kills,2021-10-15,176,94,38,-4,45,3:12,0,62,270,548,Rock
214,Talk & Walk,Mammoth WVH,2022-09-16,140,99,50,-3,33,4:35,0,44,81,4778,Rock
215,Ego Death (feat. Steve Vai),Polyphia,2022-09-28,128,76,66,-5,45,5:50,4,65,82,7556,Rock
216,Slaughter Beach,Clutch,2022-08-16,147,83,49,-6,81,3:41,0,42,271,1797,Rock
217,Fear the Sun,Siiickbrain,2022-09-23,151,87,47,-6,21,2:46,0,44,83,6981,Rock
218,Best at Being the Worst,Unlike Pluto,2022-10-07,184,58,31,-8,26,4:00,0,53,272,1969,Rock
219,Save Yourself,ONE OK ROCK,2022-09-09,165,85,50,-3,76,3:18,0,57,768,8284,Rock
220,City Of The Dead,Hollywood Undead,2022-08-12,140,88,43,-3,47,2:54,0,52,273,7701,Rock
221,Live by the Gun ( feat. Ice-T ),Lionheart,2022-10-05,105,94,55,-4,42,3:34,0,35,274,3613,Rock
222,Motherlode,The Standstills,2022-09-30,135,96,45,-4,49,3:02,0,45,275,5519,Rock
223,Fight Alone,Motive Black,2022-09-30,170,92,42,-4,56,3:40,0,35,276,1250,Rock
224,New Era,Adelitas Way,2022-09-02,165,97,42,-3,58,3:08,0,45,277,3474,Rock
225,Waiting on You,Rain City Drive,2022-07-15,112,99,54,-3,27,3:17,0,51,278,9616,Rock
226,Spillways,Ghost,2022-03-11,128,87,57,-5,80,3:17,0,69,84,5727,Rock
227,Sacred Kiss,Bad Wolves,2021-10-29,133,90,49,-6,18,4:04,0,44,769,3392,Rock
228,CHOKE (with grandson & Zero 9:36),The Warning,2022-08-26,175,94,40,-3,39,2:40,0,56,279,3441,Rock
229,Hold On (feat. Lacey Sturm),All Good Things,2022-09-23,75,90,45,-3,47,4:17,0,46,280,9685,Rock
230,I Still Burn,Fozzy,2022-05-06,110,92,56,-4,38,3:55,0,45,281,4840,Rock
231,Rest In Peace,Dorothy,2022-01-28,73,83,31,-4,19,3:37,0,52,282,4592,Rock
232,What Would You Do? [Feat. Gavin Rossdale],Seether,2022-07-08,123,80,55,-5,23,4:50,1,51,283,3220,Rock
233,DEEP CUTS,You Me At Six,2022-07-21,166,90,33,-6,42,4:14,0,46,284,6770,Rock
234,Out,Robot Monster,2022-10-20,97,87,52,-7,48,3:18,0,33,285,7129,Rock
235,100 Little Deaths,Lilith Czar,2021-04-23,145,84,23,-7,14,3:33,0,37,286,5634,Rock
236,SAY,RedHook,2022-09-16,135,94,47,-3,32,2:59,0,45,287,4891,Rock
237,My Own Device,Archetypes Collide,2022-09-16,93,82,48,-5,43,3:07,0,41,288,4035,Rock
238,Rotoscope,Spiritbox,2022-06-22,125,88,56,-5,46,3:35,0,59,289,5349,Rock
239,Counting Sheep,The Violent,2022-07-22,180,88,43,-6,64,3:25,0,37,290,3551,Rock
240,You Made Me Want To Live,Black Label Society,2021-11-26,102,66,45,-6,13,4:31,0,40,291,7845,Rock
241,No Longer Broken,ALPHAMEGA,2022-01-21,160,91,34,-4,33,3:19,0,58,292,639,Rock
242,Out of My Head,Charlotte Sands,2022-05-13,152,73,47,-5,26,2:54,2,39,26,39,Rock
243,Die Another Day,Dance Gavin Dance,2022-07-29,175,98,47,-3,37,3:41,7,58,293,2120,Rock
244,LAUGH. CRY. SMILE. DIE. (feat. Shane Told of Silverstein),Anti-Flag,2022-07-29,164,98,47,-4,74,3:05,0,44,85,2896,Rock
245,Don't Pray For Me,Within Temptation,2022-07-08,142,90,48,-4,50,3:42,0,52,294,3640,Rock
246,The Optimist,10 Years,2022-09-14,198,91,40,-6,53,2:58,0,58,295,1554,Rock
247,From Today,coldrain,2022-07-06,175,95,33,-4,36,3:54,0,47,296,2181,Rock
248,Whatever,AVOID,2022-08-19,153,99,43,-4,25,3:39,0,42,770,4549,Rock
249,Sober,Palisades,2022-06-15,100,95,48,-3,31,3:05,0,37,297,9533,Rock
250,I EXIST,VUKOVI,2022-07-18,135,88,47,-5,30,4:30,0,46,27,1228,Rock
251,Rain Down,Solence,2022-07-08,138,85,52,-4,40,4:07,0,53,305,6132,Rock
252,Money Spent,Koe Wetzel,2022-09-16,87,77,55,-6,18,2:37,0,64,306,7729,Rock
253,Shivering (feat. Spiritbox),ILLENIUM,2022-05-13,150,91,43,-3,24,5:01,1,60,307,9880,Rock
254,War Inside of Me,ZILLION,2022-07-29,105,85,59,-4,34,2:54,0,42,308,5147,Rock
255,NOCTURNAL,MOTHICA,2022-07-01,105,71,61,-6,48,2:47,5,45,9,5617,Rock
256,Divided,Villain of the Story,2022-07-22,160,93,35,-4,38,4:13,0,43,309,3298,Rock
257,Behind Your Walls,The Offspring,2021-08-20,152,95,42,-2,39,3:21,0,55,28,8854,Rock
258,Tear It Down,Skid Row,2022-10-14,97,95,51,-4,49,3:57,0,35,86,2497,Rock
