#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
198,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2018-05-25,80,57,85,-8,29,3:25,6,81,82,5177,Hip Hop
199,Pure Cocaine,Lil Baby,2018-11-30,127,49,96,-6,11,2:34,0,81,409,2568,Hip Hop
200,Unforgettable,French Montana,2017-07-14,98,77,73,-5,73,3:54,3,80,83,4496,Hip Hop
201,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2019-09-06,90,52,76,-4,93,2:38,53,80,295,2104,Hip Hop
202,Love Sosa,Chief Keef,2012-01-01,132,41,77,-8,21,4:06,4,80,131,3856,Hip Hop
203,The Box,Roddy Ricch,2019-12-06,117,59,90,-7,64,3:17,10,80,438,7325,Hip Hop
204,Selfish,PnB Rock,2017-01-13,102,60,64,-6,4,4:06,11,72,220,6709,Hip Hop
205,Alright,Kendrick Lamar,2015-03-16,110,77,80,-6,56,3:39,7,79,106,6394,Hip Hop
206,No Idea,Don Toliver,2020-03-13,128,63,65,-6,35,2:34,52,79,786,5972,Hip Hop
207,Going Bad (feat. Drake),Meek Mill,2018-11-30,86,50,89,-6,54,3:01,26,79,787,4246,Hip Hop
208,changes,XXXTENTACION,2018-03-16,65,31,67,-10,52,2:02,88,79,505,5365,Hip Hop
209,"Bitch, Don’t Kill My Vibe",Kendrick Lamar,2012,134,70,59,-9,10,5:11,2,68,194,5574,Hip Hop
210,Ballin' (with Roddy Ricch),Mustard,2019-06-28,97,55,81,-7,24,3:00,39,78,457,7262,Hip Hop
211,BUTTERFLY EFFECT,Travis Scott,2018-08-03,141,63,76,-6,19,3:11,5,78,586,785,Hip Hop
212,Nonstop,Drake,2018-06-29,155,41,91,-8,42,3:59,2,78,254,1646,Hip Hop
213,Bank Account,21 Savage,2017-07-06,75,35,88,-8,38,3:40,2,78,84,8303,Hip Hop
214,Fight Night,Migos,2014-02-25,90,71,87,-5,90,3:36,18,68,33,7985,Hip Hop
215,My Shit,A Boogie Wit da Hoodie,2016-09-16,78,62,81,-8,85,2:08,24,77,489,1567,Hip Hop
216,Pop Out (feat. Lil Tjay),Polo G,2019-06-07,168,64,77,-7,26,2:47,15,77,390,1636,Hip Hop
217,Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2016-06-17,108,43,89,-10,23,2:57,3,76,458,3423,Hip Hop
218,1400 / 999 Freestyle,Trippie Redd,2018-11-09,142,57,83,-6,57,2:56,1,76,296,8329,Hip Hop
219,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2010-10-01,131,60,76,-6,36,4:24,1,76,133,6934,Hip Hop
220,Nice For What,Drake,2018-06-29,93,91,59,-6,76,3:31,9,77,317,9224,Hip Hop
221,Stir Fry,Migos,2018-01-26,182,82,82,-5,51,3:10,0,77,367,2619,Hip Hop
222,Baby (Lil Baby feat. DaBaby),Quality Control,2019-08-16,108,46,97,-7,46,2:22,10,76,459,1711,Hip Hop
223,ZEZE (feat. Travis Scott & Offset),Kodak Black,2018-12-14,98,60,86,-6,50,3:49,5,76,162,4958,Hip Hop
224,Money In The Grave (Drake ft. Rick Ross),Drake,2019-06-15,101,50,83,-4,10,3:25,10,77,375,6903,Hip Hop
225,OUT WEST (feat. Young Thug),JACKBOYS,2019-12-27,140,59,80,-5,31,2:38,1,76,221,3739,Hip Hop
226,Walk It Talk It,Migos,2018-01-26,146,63,91,-5,40,4:36,9,77,587,8426,Hip Hop
227,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,2017-03-24,130,61,73,-8,45,2:57,13,76,460,7712,Hip Hop
228,Trophies,Young Money,2014-01-01,144,69,75,-7,28,3:08,16,75,461,3477,Hip Hop
229,No Flockin',Kodak Black,2015-11-13,118,60,94,-8,82,2:45,7,75,293,4935,Hip Hop
230,BOP,DaBaby,2019-09-27,127,79,77,-4,84,2:40,19,74,5,726,Hip Hop
231,Money Longer,Lil Uzi Vert,2016-05-27,136,57,80,-8,48,3:19,5,74,754,3931,Hip Hop
232,Do Not Disturb,Drake,2017-03-18,171,69,62,-6,45,4:44,25,75,426,7742,Hip Hop
233,Noticed,Lil Mosey,2018-10-19,80,56,70,-8,49,2:45,46,74,222,4309,Hip Hop
234,Plain Jane,A$AP Ferg,2017-08-18,170,84,80,-5,52,2:54,7,73,223,7557,Hip Hop
235,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2018-12-21,93,66,58,-5,43,3:09,2,73,740,2090,Hip Hop
236,Transportin',Kodak Black,2017-08-18,94,66,80,-5,26,2:49,3,73,408,1880,Hip Hop
237,Trap Queen,Fetty Wap,2015-09-25,148,87,75,-4,82,3:42,2,73,224,1123,Hip Hop
238,G.O.M.D,J. Cole,2014-12-09,128,40,89,-11,34,5:01,32,73,506,3304,Hip Hop
