#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
913,PRNDL.exe,PRNDL,2022-04-14,106,48,94,-10,82,2:57,3,30,944,7159,Jazz
914,Blue to Red - Photay Remix,Chip Wickham,2021-06-09,130,63,67,-17,6,6:22,17,30,1044,3478,Jazz
915,PPL -PingPongLounge-,ddddeeeellllaaa,2021-02-19,76,26,74,-8,51,1:54,47,30,945,6821,Jazz
916,RED PILL,E-SWERVE,2022-07-08,107,64,51,-10,56,2:41,1,30,1652,4500,Jazz
917,Why Not Jungle,Skalpel,2022-09-01,168,88,47,-5,70,4:25,2,30,946,3140,Jazz
918,Chem Dawg,Elusive,2022-04-08,135,61,59,-8,69,2:24,46,30,1332,4667,Jazz
919,Between the Bread,Nico Harris,2021-06-11,115,80,50,-9,67,3:09,26,30,1653,7387,Jazz
920,Afro Cello - Super Full Moon Rework,Danny Keane,2021-04-09,160,76,80,-7,88,4:08,4,30,947,4406,Jazz
921,Morse Code,daniel hayn,2022-01-14,132,76,66,-11,71,3:05,4,29,1045,4693,Jazz
922,Childhood Memories - Remix,Gabriel Gosse,2022-11-10,99,56,64,-12,23,4:38,24,30,948,2949,Jazz
923,Shop FUNKY Flights,Joshua Morse,2022-08-12,122,74,83,-10,95,2:58,23,29,949,9070,Jazz
924,Drosa is real! - Lindstrøm Remix,OJKOS,2022-10-28,176,83,68,-11,93,12:12,8,29,950,3397,Jazz
925,Spain,Chick Corea,1973-01-01,136,45,40,-17,47,9:51,86,46,66,69,Jazz
926,Chicken,Jaco Pastorius,2010-04-20,92,57,60,-14,76,5:52,66,45,287,7367,Jazz
927,Mirage,Jean-Luc Ponty,1977,94,67,44,-11,63,4:54,6,43,288,1078,Jazz
928,Midnight Rendezvous,CASIOPEA,2017-11-01,96,50,70,-10,49,4:38,69,42,1654,5746,Jazz
929,The Red One,John Scofield,1994-01-01,107,49,52,-10,68,4:19,24,42,1003,2942,Jazz
930,Bad Asteroid,The Aristocrats,2011-09-13,87,73,49,-7,39,5:54,3,42,289,3551,Jazz
931,Have You Heard,Pat Metheny Group,1989,151,46,36,-12,49,6:26,89,41,133,8067,Jazz
932,Fuel City,Snarky Puppy,2022-09-30,123,85,55,-8,18,4:52,49,40,1413,3990,Jazz
933,Stratus,Billy Cobham,1973,163,80,38,-9,61,9:50,3,40,1333,1787,Jazz
934,Nuclear Burn,Brand X,1976-01-01,151,63,31,-16,45,6:23,2,39,951,9467,Jazz
935,Night Cruise,T-SQUARE,2015-07-08,208,66,56,-8,80,5:50,12,38,290,8259,Jazz
936,Trinity,Snarky Puppy,2022-06-10,160,65,54,-8,40,7:54,35,37,1649,3978,Jazz
937,The Antidote Is in the Poison,GoGo Penguin,2022-06-10,128,47,62,-13,43,5:53,26,37,406,8484,Jazz
938,Teki,Alfa Mist,2021-04-23,92,68,50,-9,54,6:00,49,37,407,8461,Jazz
939,Riding Giants,Cristiano Parato,2012-01-05,95,71,59,-8,69,6:12,43,36,1046,5110,Jazz
940,Dolemite,Scott Henderson,1997-03-28,133,91,65,-6,75,5:52,1,36,1655,1427,Jazz
941,P64 By My Side,John Carroll Kirby,2021-06-25,78,57,54,-7,71,4:12,66,36,291,527,Jazz
942,Medieval Overture - Instrumental,Return To Forever,1976,107,77,44,-10,25,5:14,14,35,292,7594,Jazz
943,Friction,TAUK,2014-08-07,93,85,56,-6,53,5:01,3,35,293,4088,Jazz
944,Black Market,Weather Report,1976-04-17,105,71,40,-12,78,6:31,7,35,1047,9972,Jazz
945,Ring of Saturn,Cory Wong,2021-08-27,109,50,71,-14,34,4:01,50,35,797,34,Jazz
946,Sorbet,Spyro Gyra,2013-09-24,110,85,63,-5,65,7:25,25,35,952,1130,Jazz
947,Thirty One,Lydian Collective,2018-03-30,106,63,67,-8,79,3:47,30,35,1830,1487,Jazz
948,Walk Cycle,The JuJu Exchange,2022-04-27,85,61,53,-9,54,3:12,22,34,1656,7994,Jazz
949,U.T.F.F.,Owane,2021-08-13,150,70,48,-12,51,3:28,23,34,294,9319,Jazz
950,Magnetar (feat. Adam Deitch & Shaun Martin),Mark Lettieri,2021-04-09,113,85,72,-7,48,4:36,0,34,1494,8681,Jazz
951,Nightfall,Mezzoforte,2021-07-01,110,55,72,-11,63,4:46,49,33,953,2119,Jazz
952,Hell's Bells,Bill Bruford,1986-01-01,93,51,40,-16,83,3:34,65,33,954,4892,Jazz
953,Chromazone,Mike Stern,1988-03-08,120,79,62,-11,69,7:42,30,33,295,4343,Jazz
954,Seventh String,Makaya McCraven,2022-09-23,153,77,25,-11,62,3:05,76,32,495,831,Jazz
955,Silver Lining,J3PO,2021-06-04,109,64,60,-10,6,3:43,41,33,955,6474,Jazz
956,Blue Wind,Jeff Beck,1976-05,180,77,28,-9,83,5:54,0,32,296,5474,Jazz
957,Blue Macaw,Slowya.roll,2021-10-29,125,76,65,-9,43,4:34,48,31,1048,1012,Jazz
958,One More !!?!??,Mathieu Fiset,2021-05-07,158,79,57,-7,83,4:08,40,31,956,4022,Jazz
959,Up and Down,Anika Nilles,2022-04-29,106,55,68,-10,65,4:02,1,31,957,880,Jazz
960,The New Heritage,Telemakus,2021-10-13,188,60,49,-10,89,2:26,12,30,678,8620,Jazz
961,Trains,Steps Ahead,1986,130,85,59,-5,44,7:31,25,30,958,6542,Jazz
962,Core,Gecko&Tokage Parade,2021-01-20,137,75,55,-8,66,3:29,22,30,959,5929,Jazz
963,Be Happy,Mahavishnu Orchestra,1975,98,98,25,-8,23,3:33,3,30,134,6679,Jazz
964,Snake Oil,Tony Williams,1975,107,70,44,-14,74,6:26,1,29,1657,1363,Jazz
965,Petrichor,St. Barbe,2021-01-29,98,53,53,-8,33,5:49,67,29,960,635,Jazz
966,Even Song,Yellowjackets,2020-11-06,149,48,58,-14,70,8:23,28,29,1831,5350,Jazz
967,Spacy Country,Uzeb,1985,85,9,53,-27,35,5:10,47,28,961,5338,Jazz
968,Blues for Tony,Allan Holdsworth,2010-03-30,133,79,37,-10,51,11:12,2,28,297,955,Jazz
969,Mondo Garaj,Garaj Mahal,2003-01-01,117,96,57,-8,77,5:33,1,28,962,1228,Jazz
970,Mayday,corto.alto,2021-11-09,100,58,71,-10,75,4:49,20,28,298,642,Jazz
971,Black Cat Shuffle,Al Di Meola,1982,132,81,52,-12,71,3:01,1,28,135,9515,Jazz
972,Catch Me If U Can,Vital Techtones,2000,141,86,49,-5,66,4:25,8,27,963,9100,Jazz
