#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
121,I Know You,Franky Wah,2022-11-11,122,88,71,-7,19,3:52,14,45,93,1678,Dance/Electronic
122,Work,JADED,2022-11-04,128,94,66,-6,90,3:04,18,46,840,9939,Dance/Electronic
123,Front 2 Back,MOTi,2022-11-11,128,84,80,-7,46,3:35,0,50,371,9400,Dance/Electronic
124,Talk To Me (with BRUX),Max Styler,2022-11-11,126,91,80,-6,65,3:03,0,39,372,4201,Dance/Electronic
125,Warning,Beltran,2022-11-04,127,83,81,-12,43,5:36,1,44,1292,2898,Dance/Electronic
126,Freefall (feat. Moxie Knox) - Edit,Maya Jane Coles,2022-11-11,130,76,79,-7,83,3:07,1,46,373,5955,Dance/Electronic
127,All Over This Party - salute Remix,Sans Soucis,2022-11-16,134,78,79,-7,80,3:08,38,37,374,7873,Dance/Electronic
128,Take Me To America,Salvatore Ganacci,2022-10-27,135,89,79,-5,95,3:51,0,63,177,3347,Dance/Electronic
129,Bon Trip - Radio Edit,Carlita,2022-09-27,119,75,61,-10,88,3:02,0,48,375,2713,Dance/Electronic
130,this edible ain't shit,Bodysync,2022-11-14,128,84,85,-4,88,2:17,0,36,376,2041,Dance/Electronic
131,So Tell Me…,Nia Archives,2022-11-16,170,64,56,-6,16,3:47,5,47,841,3220,Dance/Electronic
132,DREAMER,The Blaze,2022-11-09,123,52,67,-11,22,5:39,51,63,178,9938,Dance/Electronic
133,6:00 AM,Channel Tres,2022-11-09,124,69,87,-7,92,3:42,2,55,179,386,Dance/Electronic
134,Fuck It!,TAAHLIAH,2022-11-17,130,92,71,-5,36,3:42,0,33,377,7853,Dance/Electronic
135,Still Rushing,TIBASKO,2022-07-29,160,72,35,-7,50,3:46,0,34,378,2121,Dance/Electronic
136,One Last Time (with R3HAB) (feat. Enny-Mae),VIZE,2022-09-23,120,53,92,-8,86,2:35,64,69,379,9786,Dance/Electronic
137,Left & Right,Öwnboss,2022-10-14,124,87,65,-6,42,2:35,5,67,180,8671,Dance/Electronic
138,I Know,Marten Hørger,2022-09-23,125,93,68,-5,34,3:23,5,54,380,397,Dance/Electronic
139,We Don't Ever Stop,Tom Santa,2022-10-28,130,84,64,-6,16,2:41,0,51,181,8229,Dance/Electronic
140,Sidewindah (feat. Flirta D),Gorgon City,2022-10-21,127,94,82,-8,42,3:34,13,58,381,1092,Dance/Electronic
141,Outer Space,Habstrakt,2022-11-11,126,94,79,-5,47,3:12,0,51,382,5109,Dance/Electronic
142,Rendezvous (feat. Marlo Rex),KREAM,2022-10-21,126,90,59,-7,18,2:59,2,58,383,9723,Dance/Electronic
143,Could U Be The One,Sonny Fodera,2022-11-18,124,67,82,-5,26,2:56,6,51,404,4958,Dance/Electronic
144,For The People,Nicky Romero,2022-10-28,126,97,50,-5,59,3:39,0,55,18,9909,Dance/Electronic
145,Radiation,Ship Wrek,2022-10-28,124,77,66,-7,11,3:31,1,51,45,1036,Dance/Electronic
146,Touch The Sky,Simon Doty,2022-11-01,124,89,60,-8,18,4:31,0,47,384,5354,Dance/Electronic
147,Body Breathe,LP Giobbi,2022-11-17,121,75,59,-7,20,4:20,9,40,550,7810,Dance/Electronic
148,Starz,andhim,2022-11-04,123,86,58,-8,42,5:01,11,42,182,9140,Dance/Electronic
149,All I Need,Forester,2022-09-16,182,98,50,-4,34,3:07,9,51,385,469,Dance/Electronic
150,On The Run,OCULA,2022-11-04,124,54,53,-11,6,4:02,9,44,386,1987,Dance/Electronic
151,This Love,Laura van Dam,2022-09-26,125,82,60,-9,12,2:37,23,41,387,8485,Dance/Electronic
152,Lightning To Strike,J. Worra,2022-10-28,125,84,65,-7,75,2:59,6,49,183,6963,Dance/Electronic
153,Reborn,SIDEPIECE,2022-11-11,124,81,72,-5,47,2:48,1,52,94,3368,Dance/Electronic
154,Nightmares,Saffron Stone,2022-10-28,127,73,62,-8,36,3:58,0,46,388,9012,Dance/Electronic
155,Move,Wenzday,2022-10-21,125,86,61,-5,41,2:23,1,46,389,21,Dance/Electronic
156,Get Up,Keys N Krates,2022-11-16,122,63,90,-6,48,3:04,1,40,390,9152,Dance/Electronic
157,The Sound Of Space,Enrico Sangiuliano,2022-09-30,130,89,71,-7,16,8:18,1,58,184,9516,Dance/Electronic
158,Somebody,SOHMI,2022-10-14,123,90,60,-6,4,3:30,0,40,391,3855,Dance/Electronic
159,Great Beyond,Anden,2022-11-17,125,83,68,-6,3,4:10,0,26,392,66,Dance/Electronic
160,WANNA GO BANG,HI-LO,2022-09-30,132,92,79,-6,71,3:57,0,58,185,2130,Dance/Electronic
