#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
135,Call me Cruella,Florence + The Machine,2021-05-21,101,57,58,-10,25,2:07,8,58,158,3764,Disney
136,Lost in the Woods - Weezer Version,Weezer,2019-11-15,76,60,40,-6,29,3:05,20,54,159,8014,Disney
137,Baby Mine,Arcade Fire,2019-03-29,102,32,30,-11,15,2:57,71,45,160,4714,Disney
138,How Far I'll Go - Alessia Cara Version,Alessia Cara,2016-11-18,181,54,31,-10,15,2:56,16,63,161,8750,Disney
139,Starting Now,Brandy,2021-05-21,125,85,56,-5,31,3:24,3,55,162,576,Disney
140,Chill or Be Chilled - Frozone's Theme,Michael Giacchino,2018-06-15,106,53,60,-9,50,1:41,9,43,127,5310,Disney
141,Pow! Pow! Pow! - Mr. Incredible's Theme,Michael Giacchino,2018-06-15,80,39,64,-7,36,1:31,16,44,253,4739,Disney
142,"For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version",Kristen Bell,2013-01-01,94,34,36,-9,39,2:30,81,61,384,1632,Disney
143,We Know The Way,Opetaia Foa'i,2016-11-18,98,58,69,-9,39,2:21,36,65,163,5231,Disney
144,Bibbidi-Bobbidi-Boo (The Magic Song),Helena Bonham Carter,2015-01-01,109,42,75,-14,78,1:22,93,51,180,8774,Disney
145,"Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version",Joseph Williams,1994-01-01,78,13,31,-19,47,2:58,79,61,70,6664,Disney
146,"I Believe (feat. Demi Lovato) - As featured in the Walt Disney Pictures' ""A WRINKLE IN TIME""",DJ Khaled,2018-02-28,176,63,35,-9,34,3:45,18,46,181,9846,Disney
147,"Trip a Little Light Fantastic - From ""Mary Poppins Returns""/Edit",Lin-Manuel Miranda,2018-11-26,113,42,60,-14,56,4:06,68,44,182,5229,Disney
148,The Place Where Lost Things Go,Emily Blunt,2018-12-07,65,7,25,-20,19,3:44,96,48,40,3410,Disney
149,"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",Jodi Benson,1997-01-01,100,13,39,-15,32,3:15,91,59,170,1990,Disney
150,"Colors of the Wind - From ""Pocahontas""",Judy Kuhn,2012-08-07,92,27,28,-12,26,3:33,94,54,444,961,Disney
151,Ring in the Season,Kristen Bell,2017-11-03,71,43,39,-7,42,1:59,69,53,483,8047,Disney
152,Something There,Emma Watson,2017-03-10,123,32,45,-13,48,2:55,90,55,262,186,Disney
153,"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version",Samuel E. Wright,1997-01-01,135,23,67,-17,72,2:43,66,55,298,2074,Disney
154,In This Place,Julia Michaels,2018-11-15,196,62,41,-7,48,3:21,4,51,183,715,Disney
155,I Am Moana (Song of the Ancestors),Rachel House,2016-11-18,149,21,36,-12,23,2:43,57,61,184,2754,Disney
156,A Place Called Slaughter Race,Sarah Silverman,2018-11-15,129,39,43,-10,33,3:28,60,43,185,4459,Disney
157,Beauty and the Beast,Ariana Grande,2017-03-10,81,54,49,-7,27,3:48,13,65,41,6319,Disney
158,The Glory Days - A Cappella,DCappella,2018-06-15,93,56,66,-9,72,1:39,21,40,211,4144,Disney
159,Can You Imagine That?,Emily Blunt,2018-12-07,118,38,58,-11,50,4:23,82,47,263,7762,Disney
